,A,B,SACTRAK,PHASE2,unique_lanevals
858,369,3177,,,[1]
859,369,3179,,,[1]
860,369,3180,,,[1]
861,369,15824,,,[1]
862,370,3193,,,[1]
863,370,3216,,,[1]
864,370,3350,,,[1]
865,370,8220,,,[1]
866,371,2194,,,[1]
867,371,3190,,,[1]
868,371,3214,,,[1]
869,371,8220,,,[1]
870,372,8250,,,[1]
871,372,8251,,,[1]
872,373,3175,,,[1]
873,373,4707,,,[1]
874,373,4708,,,[1]
875,374,2496,,,[1]
876,374,3175,,,[1]
877,374,4478,,,[1]
878,375,2344,,,[1]
879,375,3187,,,[1]
880,375,8244,,,[1]
881,376,2344,,,[1]
882,376,7262,,,[1]
883,376,8240,,,[1]
884,377,3187,,,[1]
885,377,3210,,,[1]
886,377,3349,,,[1]
887,377,8247,,,[1]
888,378,7263,,,[1]
889,378,8243,,,[1]
890,378,8244,,,[1]
891,378,8246,,,[1]
892,379,3183,,,[1]
893,379,3207,,,[1]
894,379,8243,,,[1]
895,379,8247,,,[1]
896,380,3183,,,[1]
897,380,3205,,,[1]
898,380,8248,,,[1]
899,381,3348,,,[1]
900,382,4475,,,[1]
901,382,8202,,,[1]
902,383,3352,,,[1]
903,383,8204,,,[1]
904,384,4316,,,[1]
905,384,4473,,,[1]
906,385,3053,,,[1]
907,386,3398,,,[1]
908,387,3345,,,[1]
909,387,3394,,,[1]
910,388,3122,,,[1]
911,388,3143,,,[1]
912,388,3145,,,[1]
913,388,3164,,,[1]
914,389,3164,,,[1]
915,389,3170,,,[1]
916,389,3351,,,[1]
917,390,3170,,,[1]
918,390,3178,,,[1]
919,390,3285,,,[1]
920,390,3353,,,[1]
921,391,3103,,,[1]
922,391,3123,,,[1]
923,391,4319,,,[1]
924,392,3218,,,[1]
925,392,3281,,,[1]
926,392,8060,,,[1]
927,393,3281,,,[1]
928,393,3490,,,[1]
929,393,8059,,,[1]
930,394,3180,,,[1]
931,394,3195,,,[1]
932,394,3353,,,[1]
933,394,4418,,,[1]
934,395,3195,,,[1]
935,395,3218,,,[1]
936,395,3350,,,[1]
937,395,4317,,,[1]
938,396,3285,,,[1]
939,396,3286,,,[1]
940,396,4459,,,[1]
941,397,3287,,,[1]
942,397,3289,,,[1]
943,397,4420,,,[1]
944,398,423,,,[1]
945,398,3290,,,[1]
946,398,4420,,,[1]
947,399,3381,,,[1]
948,400,3282,,,[1]
949,400,3382,,,[1]
950,400,3391,,,[1]
951,401,3379,,,[1]
952,401,4459,,,[1]
953,402,3146,,,[1]
954,402,3147,,,[1]
955,402,3289,,,[1]
956,402,14510,,,[1]
957,403,3129,,,[1]
958,403,3135,,,[1]
959,403,3148,,,[1]
960,403,3290,,,[1]
961,404,3327,,,[1]
962,404,3372,,,[1]
963,404,3373,,,[1]
964,404,3374,,,[1]
965,405,3126,,,[1]
966,405,3373,,,[1]
967,405,3375,,,[1]
968,406,3129,,,[1]
969,406,3131,,,[1]
970,406,3376,,,[1]
971,407,3318,,,[1]
972,407,3358,,,[1]
973,407,3376,,,[1]
974,408,3138,,,[1]
975,408,3157,,,[1]
976,409,3368,,,[1]
977,409,3369,,,[1]
978,409,4327,,,[1]
979,410,3369,,,[1]
980,410,3370,,,[1]
981,411,3117,,,[1]
982,411,3370,,,[1]
983,412,3140,,,[1]
984,412,3160,,,[1]
985,413,3157,,,[1]
986,414,415,,,[1]
987,414,3364,,,[1]
988,414,3366,,,[1]
989,415,414,,,[1]
990,415,3133,,,[1]
991,415,4466,,,[1]
992,415,8213,,,[1]
993,416,8212,,,[1]
994,416,8213,,,[1]
995,417,4468,,,[1]
996,417,8211,,,[1]
997,417,8212,,,[1]
998,418,3113,,,[1]
999,418,3136,,,[1]
1000,418,3365,,,[1]
1001,418,3368,,,[1]
1002,419,3110,,,[1]
1003,419,3132,,,[1]
1004,419,3377,,,[1]
1005,419,3378,,,[1]
1006,420,3132,,,[1]
1007,420,3150,,,[1]
1008,421,3150,,,[1]
1009,421,3292,,,[1]
1010,422,3293,,,[1]
1011,423,398,,,[1]
1012,423,3292,,,[1]
1013,424,2295,,,[1]
1014,424,4648,,,[1]
1015,424,8403,,,[1]
1016,425,2278,,,[1]
1017,425,2932,,,[1]
1018,425,4648,,,[1]
1019,426,3367,,,[1]
1020,426,4410,,,[1]
1021,426,8301,,,[1]
1022,426,8403,,,[1]
1023,427,2947,,,[1]
1024,427,4717,,,[1]
1025,428,2928,,,[1]
1026,428,8301,,,[1]
1027,429,2947,,,[1]
1028,429,4716,,,[1]
1029,429,15486,,,[1]
1030,430,3347,,,[1]
1031,430,4716,,,[1]
1032,431,4445,,,[1]
1033,431,4713,,,[1]
1034,431,14288,,,[1]
1035,432,3061,,,[1]
1036,432,4713,,,[1]
1037,433,435,,,[1]
1038,433,3059,,,[1]
1039,433,4472,,,[1]
1040,434,3057,,,[1]
1041,434,4472,,,[1]
1042,435,433,,,[1]
1043,435,3359,,,[1]
1044,435,15485,,,[1]
1045,436,3074,,,[1]
1046,436,3107,,,[1]
1047,436,3355,,,[1]
1048,437,3327,,,[1]
1049,437,3355,,,[1]
1050,437,4318,,,[1]
1051,438,3057,,,[1]
1052,438,3103,,,[1]
1053,438,3354,,,[1]
1054,439,3076,,,[1]
1055,439,3371,,,[1]
1056,439,4711,,,[1]
1057,440,3061,,,[1]
1058,440,3076,,,[1]
