measure_full,value,proj_desc,proj_inum,data_year,direction,measure,xticnames
SOUTHBOUNDlottr_wknd,1.2503652780645125,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,SOUTHBOUND,lottr_wknd,Sat-Sun 6a-8p
NORTHBOUND_calc_len,33081.03589444128,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,_calc_len,_calc_len
NORTHBOUNDff_speed_art60thp,42.41094149147813,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,ff_speed_art60thp,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,21.788055876375132,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
NORTHBOUNDlottr_ampk,1.4905582990678712,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,lottr_ampk,M-F 6a-10a
NORTHBOUNDlottr_md,1.257799738705929,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,lottr_md,M-F 10a-4p
NORTHBOUNDlottr_pmpk,1.3475457867954581,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,lottr_pmpk,M-F 4p-8p
NORTHBOUNDlottr_wknd,1.2558045545187775,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,lottr_wknd,Sat-Sun 6a-8p
NORTHBOUND_calc_len,50545.784962641075,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2016,NORTHBOUND,_calc_len,_calc_len
NORTHBOUNDff_speed_art60thp,36.387190833637874,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2016,NORTHBOUND,ff_speed_art60thp,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,17.053192628357618,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2016,NORTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
NORTHBOUNDlottr_ampk,1.2587882228439635,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2016,NORTHBOUND,lottr_ampk,M-F 6a-10a
