measure_full,value,proj_desc,proj_inum,data_year,direction,measure
EASTBOUNDlottr_ampk,1.310971403,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2016,EASTBOUND,lottr_ampk
EASTBOUNDlottr_md,1.371073009,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2016,EASTBOUND,lottr_md
EASTBOUNDlottr_pmpk,1.561356276,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2016,EASTBOUND,lottr_pmpk
EASTBOUNDlottr_wknd,1.357648552,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2016,EASTBOUND,lottr_wknd
WESTBOUND_calc_len,29252.41919,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2016,WESTBOUND,_calc_len
WESTBOUNDff_speed_art60thp,39.95753922,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2016,WESTBOUND,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,22.05610809,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2016,WESTBOUND,havg_spd_worst4hrs
WESTBOUNDlottr_ampk,1.459354687,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2016,WESTBOUND,lottr_ampk
WESTBOUNDlottr_md,1.323250627,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2016,WESTBOUND,lottr_md
WESTBOUNDlottr_pmpk,1.360762783,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2016,WESTBOUND,lottr_pmpk
WESTBOUNDlottr_wknd,1.345095296,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2016,WESTBOUND,lottr_wknd
NORTHBOUND_calc_len,13734.16119,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,34.16226864,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,18.87661041,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.434498233,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.400388785,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.471606156,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.394211605,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,lottr_wknd
SOUTHBOUND_calc_len,13734.16119,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,36.58466241,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,19.5006417,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.469704703,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.389803961,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,1.531058157,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.367869448,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,lottr_wknd
NORTHBOUND_calc_len,13489.35207,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,42.42617822,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,23.91836468,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.162924785,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.206338739,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.312528223,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.253215374,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,lottr_wknd
